                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.80619,                0.44999,                0.87525,                0.97249,                0.96796,                0.98361,                0.79818,                0.65983,                0.35685,                0.85616,               0.003862,               0.003862,               0.003862
                     65,                 0.8065,                0.44778,                0.87744,                0.97343,                0.96671,                 0.9837,                0.79927,                0.65742,                0.35825,                0.85526,               0.003763,               0.003763,               0.003763
                     66,                0.79939,                0.44658,                0.87546,                0.97389,                0.96782,                0.98372,                 0.7995,                0.65223,                 0.3552,                0.85365,               0.003664,               0.003664,               0.003664
                     67,                0.79788,                0.44387,                0.87367,                0.97718,                0.96144,                0.98377,                0.80103,                0.65169,                0.35444,                0.85378,               0.003565,               0.003565,               0.003565
                     68,                0.79396,                0.44238,                0.87339,                0.97854,                 0.9622,                0.98405,                0.80146,                0.64942,                0.35205,                0.85308,               0.003466,               0.003466,               0.003466
                     69,                0.78791,                0.43685,                0.87127,                 0.9707,                0.96586,                0.98442,                0.80273,                0.64794,                0.35087,                0.85246,               0.003367,               0.003367,               0.003367
                     70,                0.78364,                0.43364,                0.87213,                0.97604,                0.96323,                0.98428,                0.80241,                 0.6464,                0.35199,                0.85163,               0.003268,               0.003268,               0.003268
                     71,                0.78446,                0.43551,                0.87173,                0.97637,                0.96292,                0.98447,                0.80471,                0.64455,                0.35017,                0.85172,               0.003169,               0.003169,               0.003169
                     72,                0.77558,                0.43086,                0.87107,                0.97581,                0.96369,                0.98456,                0.80464,                0.64334,                0.34991,                0.85147,                0.00307,                0.00307,                0.00307
                     73,                0.77638,                0.42875,                0.86801,                0.97449,                0.96459,                0.98442,                0.80568,                0.64194,                0.35018,                0.85019,               0.002971,               0.002971,               0.002971
                     74,                  0.775,                0.42938,                0.86763,                 0.9735,                0.96564,                0.98471,                0.80631,                0.63976,                0.34804,                0.84922,               0.002872,               0.002872,               0.002872
                     75,                0.76961,                0.42769,                0.86691,                0.97512,                0.96643,                0.98481,                0.80611,                 0.6382,                0.34747,                0.84871,               0.002773,               0.002773,               0.002773
                     76,                0.75902,                0.42261,                0.86596,                0.97505,                0.96636,                0.98511,                0.80549,                0.63642,                0.34618,                0.84751,               0.002674,               0.002674,               0.002674
                     77,                0.75457,                0.41845,                0.86371,                0.97681,                0.96671,                0.98504,                  0.805,                0.63465,                0.34532,                0.84713,               0.002575,               0.002575,               0.002575
                     78,                0.75239,                0.41705,                0.86464,                0.97606,                0.96778,                0.98507,                0.80488,                0.63226,                0.34426,                0.84624,               0.002476,               0.002476,               0.002476
                     79,                0.75373,                0.41722,                0.86285,                0.97499,                0.96835,                0.98558,                 0.8049,                0.62994,                0.34324,                0.84542,               0.002377,               0.002377,               0.002377
                     80,                0.74929,                0.41538,                0.86217,                0.97531,                0.96876,                0.98537,                0.80571,                0.62852,                0.34286,                0.84495,               0.002278,               0.002278,               0.002278
                     81,                0.74837,                0.41388,                0.86248,                0.97393,                0.96901,                 0.9852,                0.80539,                0.62814,                0.34213,                0.84466,               0.002179,               0.002179,               0.002179
                     82,                0.73847,                 0.4078,                 0.8604,                0.97288,                0.96957,                0.98512,                0.80654,                0.62678,                0.34195,                 0.8442,                0.00208,                0.00208,                0.00208
                     83,                0.73548,                0.40915,                0.85991,                0.97401,                0.96892,                0.98531,                 0.8076,                0.62652,                0.34149,                0.84395,               0.001981,               0.001981,               0.001981
                     84,                0.73324,                0.40464,                0.86027,                0.97553,                  0.968,                0.98529,                0.80781,                0.62575,                0.34088,                0.84384,               0.001882,               0.001882,               0.001882
                     85,                0.72939,                0.40286,                0.85866,                0.97596,                0.96793,                 0.9855,                0.80933,                0.62517,                0.33975,                 0.8438,               0.001783,               0.001783,               0.001783
                     86,                0.72281,                0.39837,                0.85649,                0.97688,                0.96734,                0.98559,                0.80895,                0.62444,                0.33867,                0.84352,               0.001684,               0.001684,               0.001684
                     87,                0.71986,                0.39809,                0.85644,                0.97714,                 0.9673,                0.98548,                0.80893,                0.62312,                0.33877,                0.84317,               0.001585,               0.001585,               0.001585
                     88,                0.71886,                0.39814,                0.85555,                0.97802,                  0.967,                0.98567,                0.81098,                0.62206,                0.33812,                0.84288,               0.001486,               0.001486,               0.001486
                     89,                0.71272,                0.39577,                0.85542,                0.97759,                0.96754,                0.98583,                0.81022,                0.62154,                0.33797,                0.84267,               0.001387,               0.001387,               0.001387
                     90,                0.70849,                0.39026,                  0.855,                0.98033,                0.96764,                0.98592,                0.80907,                0.62093,                 0.3388,                0.84226,               0.001288,               0.001288,               0.001288
                     91,                0.65318,                0.35682,                0.84205,                0.98002,                0.96779,                0.98599,                0.80926,                0.62064,                0.33827,                0.84234,               0.001189,               0.001189,               0.001189
                     92,                0.63126,                0.34557,                0.83814,                0.97991,                0.96865,                0.98627,                0.80967,                0.61925,                0.33715,                0.84204,                0.00109,                0.00109,                0.00109
                     93,                0.62544,                 0.3419,                0.83782,                0.97988,                0.96867,                0.98607,                0.80907,                0.61824,                0.33639,                 0.8417,               0.000991,               0.000991,               0.000991
                     94,                0.61565,                0.33759,                0.83331,                0.97954,                0.96872,                0.98634,                 0.8113,                0.61686,                0.33512,                 0.8415,               0.000892,               0.000892,               0.000892
                     95,                0.61109,                0.33589,                0.83476,                0.97987,                0.96868,                0.98633,                0.81211,                0.61593,                0.33455,                0.84141,               0.000793,               0.000793,               0.000793
                     96,                0.60948,                0.33471,                0.83353,                0.97949,                0.96916,                0.98653,                0.81232,                 0.6153,                0.33374,                0.84139,               0.000694,               0.000694,               0.000694
                     97,                0.59951,                 0.3301,                0.83188,                0.97901,                0.96981,                0.98642,                0.81225,                0.61431,                0.33364,                0.84113,               0.000595,               0.000595,               0.000595
                     98,                0.59181,                 0.3261,                0.82831,                0.97968,                0.96969,                0.98636,                 0.8124,                0.61369,                0.33419,                0.84095,               0.000496,               0.000496,               0.000496
                     99,                0.58586,                0.32337,                0.83039,                0.97964,                0.96945,                0.98648,                0.81297,                0.61364,                0.33382,                0.84099,               0.000397,               0.000397,               0.000397
                    100,                0.58284,                0.32217,                0.82855,                0.98007,                0.97023,                0.98651,                0.81331,                0.61273,                0.33329,                0.84063,               0.000298,               0.000298,               0.000298
